시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,강릉시,홍제동,,1037,1037,0,우미린아파트,84.9914,202203,15,52500,18,2016,선수촌로 55,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,122,122,0,우산,33.225,202203,4,7400,8,1997,토성로 51,,중개거래,강원 강릉시
강원도,강릉시,회산동,,608,608,0,강릉서희스타힐스리버파크,84.8956,202203,7,38000,5,2017,회산로 344,,중개거래,강원 강릉시
강원도,강릉시,회산동,,608,608,0,강릉서희스타힐스리버파크,59.928,202203,12,28500,3,2017,회산로 344,,중개거래,강원 강릉시
강원도,강릉시,회산동,,130,130,0,힐스테이트강릉,74.9974,202203,10,36400,2,2018,회산로383번길 37,,중개거래,강원 강릉시
강원도,고성군,간성읍,상리,483-1,483,1,간성대명,39.6,202203,2,6000,5,1998,수성로 126-5,,중개거래,강원 고성군
강원도,고성군,간성읍,신안리,111,111,0,고성삼익레스타운,59.68,202203,2,9600,7,1998,남천마루2길 6,,중개거래,강원 고성군
강원도,고성군,거진읍,송포리,165,165,0,거진오션상떼빌,84.73,202203,8,35000,14,2006,해오름해변길 70,,중개거래,강원 고성군
강원도,동해시,동회동,,442,442,0,"대동1,2차",73.4675,202203,3,12000,11,1995,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,"대동1,2차",73.4675,202203,15,10700,2,1995,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,대동3차,73.4675,202203,8,11000,4,1996,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,대동3차,45,202203,8,6000,12,1996,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,대동3차,59.3575,202203,11,8000,5,1996,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,현대5차,134.783,202203,6,21900,9,1999,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,현대5차,134.783,202203,7,21200,7,1999,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,현대5차,84.9562,202203,9,16300,18,1999,청운1길 29,,중개거래,강원 동해시
강원도,동해시,묵호진동,,1-83,1,83,삼본임대,40.965,202203,16,4500,1,1996,해맞이길 231,,직거래,-
강원도,동해시,발한동,,599-45,599,45,경민1차,53.14,202203,6,4050,5,1990,수원지2길 18-13,,중개거래,강원 동해시
강원도,동해시,부곡동,,64,64,0,성협1차,79.47,202203,10,4000,1,1990,수원지1길 16,,직거래,-
강원도,동해시,부곡동,,134-4,134,4,승우파크빌라3차,83.81,202203,5,7700,2,1994,부곡복개로 42,,중개거래,강원 동해시
강원도,동해시,부곡동,,5-82,5,82,일정골든타워,59.93,202203,1,6800,1,1996,해안로 449,,중개거래,강원 동해시
강원도,동해시,북평동,,327,327,0,e편한세상동해,78.64,202203,11,29000,20,2020,단봉길 39,,중개거래,강원 동해시
강원도,동해시,북평동,,151-5,151,5,북평주공2차,46.68,202203,5,5650,2,1989,전천로 270,,중개거래,강원 동해시
강원도,동해시,북평동,,151-5,151,5,북평주공2차,46.68,202203,8,5500,1,1989,전천로 270,,중개거래,강원 동해시
강원도,동해시,쇄운동,,1100,1100,0,아름다운아침,49.95,202203,4,6800,5,2012,효자로 572-1,,직거래,-
강원도,동해시,쇄운동,,1100,1100,0,아름다운아침,39.08,202203,4,5800,14,2012,효자로 572-1,,중개거래,강원 동해시
강원도,동해시,쇄운동,,1100,1100,0,아름다운아침,39.08,202203,13,6000,14,2012,효자로 572-1,,중개거래,강원 동해시
강원도,동해시,이도동,,302-6,302,6,강변,59.955,202203,4,5950,9,1996,전천로 175-24,,중개거래,강원 동해시
강원도,동해시,이도동,,751,751,0,동해아이파크,84.98,202203,9,29680,9,2018,배골길 32-4,,중개거래,강원 동해시
강원도,동해시,이도동,,154,154,0,이도2주공,59.39,202203,2,9000,4,1999,이원길 180-2,,중개거래,강원 동해시
강원도,동해시,천곡동,,1060-2,1060,2,센트로빌,84.9685,202203,9,16500,15,2003,한섬로 73,,중개거래,강원 동해시
강원도,동해시,천곡동,,1111,1111,0,천곡금호어울림라포레,77.4598,202203,15,29500,9,2020,항골길 65,,중개거래,강원 동해시
강원도,동해시,천곡동,,1060-1,1060,1,천곡주공2차,49.22,202203,16,8000,4,1984,한섬로 87,,중개거래,강원 동해시
강원도,동해시,천곡동,,415,415,0,천곡주공4차,39.99,202203,10,5600,5,1989,샘실1길 5,,중개거래,강원 동해시
강원도,동해시,천곡동,,794,794,0,한양3차,72.71,202203,16,8100,14,1992,천곡로 15,,중개거래,강원 동해시
강원도,동해시,평릉동,,450,450,0,엘리시아,84.8964,202203,2,25000,1,2010,평원로 107,,중개거래,강원 동해시
강원도,동해시,효가동,,481,481,0,동아더프라임2단지,59.9798,202203,1,15000,4,2013,양지길 20-1,,중개거래,강원 동해시
강원도,삼척시,갈천동,,184-7,184,7,유존양지,59.97,202203,17,4700,5,1992,새천년도로 604,,직거래,-
강원도,삼척시,건지동,,176,176,0,코아루플러스,84.901,202203,7,22700,5,2015,엑스포로 173,,중개거래,강원 삼척시
강원도,삼척시,건지동,,176,176,0,코아루플러스,84.78,202203,16,19560,11,2015,엑스포로 173,,직거래,-
강원도,삼척시,교동,,788,788,0,교동지웰,59.8194,202203,2,17000,15,2018,동해대로 4183,,중개거래,강원 삼척시
강원도,삼척시,교동,,788,788,0,교동지웰,59.8194,202203,14,17000,7,2018,동해대로 4183,,중개거래,강원 삼척시
강원도,삼척시,교동,,733-1,733,1,교동코아루,60,202203,8,9100,13,2005,교동로 133,,중개거래,강원 삼척시
강원도,삼척시,교동,,733-1,733,1,교동코아루,60,202203,10,9100,14,2005,교동로 133,,중개거래,강원 삼척시
강원도,삼척시,교동,,733-1,733,1,교동코아루,84.929,202203,17,18300,13,2005,교동로 133,,직거래,-
강원도,삼척시,마달동,,19450,53,4,누가,27.18,202203,7,1900,6,1995,마달1길 75,,직거래,-
강원도,삼척시,마달동,,19450,53,4,누가,27.18,202203,7,2150,5,1995,마달1길 75,,직거래,-
강원도,삼척시,원당동,,173,173,0,삼척원당장기임대,47.31,202203,2,4300,4,1992,원당로2길 20,,직거래,-
강원도,삼척시,원당동,,122-3,122,3,원당현대,59.815,202203,4,9500,8,1998,오십천로 301-30,,중개거래,강원 삼척시
강원도,삼척시,정상동,,356-2,356,2,강부3차,58.71,202203,16,5400,15,1995,동해대로 4122-20,,중개거래,강원 삼척시
강원도,삼척시,정상동,,475,475,0,경림한아름,84.686,202203,10,18400,6,2003,정상로 23,,중개거래,강원 삼척시
강원도,삼척시,정상동,,457-3,457,3,석미,56.97,202203,3,7700,12,1998,청석로 78,,중개거래,강원 삼척시
강원도,삼척시,정상동,,457-3,457,3,석미,56.97,202203,11,7700,9,1998,청석로 78,,중개거래,강원 삼척시
강원도,삼척시,정상동,,457-1,457,1,청솔1차,59.85,202203,11,9150,12,2002,청석로 64,,중개거래,강원 삼척시
강원도,삼척시,정상동,,473,473,0,현진에버빌,80.429,202203,16,22800,12,2005,정상로 35,,중개거래,강원 삼척시
강원도,속초시,교동,,904-1,904,1,근로자(개나리),49.94,202203,17,6800,4,1991,만천4길 46,,직거래,-
강원도,속초시,교동,,1029,1029,0,남광하우스토리,59.5144,202203,4,21900,9,2011,동해대로 4284,,중개거래,강원 속초시
강원도,속초시,교동,,783,783,0,대명늘푸른,59.9584,202203,10,15300,3,2000,미시령로3337번길 7,,중개거래,강원 속초시
강원도,속초시,교동,,783,783,0,대명늘푸른,59.9584,202203,13,15500,12,2000,미시령로3337번길 7,,중개거래,"강원 속초시, 서울 성북구"
강원도,속초시,교동,,783,783,0,대명늘푸른,59.9584,202203,13,14500,15,2000,미시령로3337번길 7,,중개거래,강원 속초시
강원도,속초시,교동,,783,783,0,대명늘푸른,42.6653,202203,14,9350,1,2000,미시령로3337번길 7,,중개거래,강원 속초시
강원도,속초시,교동,,781-1,781,1,동부,84.96,202203,1,20300,11,1997,미시령로3359번길 15,,중개거래,강원 속초시
강원도,속초시,교동,,781-1,781,1,동부,84.96,202203,16,22000,13,1997,미시령로3359번길 15,,중개거래,강원 속초시
강원도,속초시,교동,,767-224,767,224,럭키설악1,84.93,202203,8,20200,13,1991,만천4길 1,,중개거래,강원 속초시
강원도,속초시,교동,,767-224,767,224,럭키설악1,84.93,202203,8,18000,8,1991,만천4길 1,,중개거래,강원 속초시
강원도,속초시,교동,,767-224,767,224,럭키설악1,84.93,202203,13,19800,13,1991,만천4길 1,,중개거래,"강원 속초시, 서울 성북구"
강원도,속초시,교동,,620-13,620,13,럭키설악2,84.991,202203,7,19000,11,1992,미시령로 3409,,중개거래,강원 속초시
강원도,속초시,교동,,904-6,904,6,로얄나하나1차,59.97,202203,3,11800,12,1993,만천1길 43,,중개거래,강원 속초시
강원도,속초시,교동,,904-6,904,6,로얄나하나1차,59.97,202203,8,10800,6,1993,만천1길 43,,중개거래,강원 속초시
강원도,속초시,교동,,904-6,904,6,로얄나하나1차,59.97,202203,12,10900,3,1993,만천1길 43,,중개거래,강원 속초시
강원도,속초시,교동,,904-5,904,5,로얄나하나2차,59.97,202203,2,11000,5,1995,만천8길 7,20220314,중개거래,강원 속초시
강원도,속초시,교동,,904-5,904,5,로얄나하나2차,59.97,202203,14,11000,5,1995,만천8길 7,,중개거래,강원 속초시
강원도,속초시,교동,,924,924,0,삼호,39.906,202203,16,7200,4,1995,밤골3길 27,,중개거래,강원 속초시
강원도,속초시,교동,,923,923,0,삼환,54.58,202203,2,12000,12,1994,밤골3길 39,,중개거래,강원 속초시
강원도,속초시,교동,,923,923,0,삼환,54.58,202203,4,13000,10,1994,밤골3길 39,,중개거래,강원 속초시
강원도,속초시,교동,,923,923,0,삼환,54.58,202203,4,11500,5,1994,밤골3길 39,,중개거래,강원 속초시
강원도,속초시,교동,,923,923,0,삼환,54.58,202203,7,12300,10,1994,밤골3길 39,,중개거래,강원 속초시
강원도,속초시,교동,,984,984,0,석미모닝파크,73.1,202203,3,28000,7,2005,수복로 12,,중개거래,강원 속초시
강원도,속초시,교동,,627-306,627,306,속초대명3,59.93,202203,4,9600,3,1994,교동로7길 26,,중개거래,강원 속초시
강원도,속초시,교동,,1033,1033,0,속초미소지움더뷰,84.831,202203,11,37300,6,2021,중앙로17번길 11,,중개거래,강원 속초시
강원도,속초시,교동,,961-1,961,1,주공3,41.85,202203,3,10000,1,1993,먹거리길 17,,중개거래,강원 속초시
강원도,속초시,금호동,,627,627,0,속초e-편한세상,120.724,202203,13,34800,2,2006,미시령로 3439,,중개거래,강원 속초시
강원도,속초시,조양동,,1571,1571,0,ES아뜨리움,79.4635,202203,8,35800,9,2017,조양로 40,,중개거래,강원 속초시
강원도,속초시,조양동,,1540-1,1540,1,부영2,49.92,202203,8,15800,9,1998,조양로142번길 6,,중개거래,강원 속초시
강원도,속초시,조양동,,1540-1,1540,1,부영2,49.92,202203,14,15300,7,1998,조양로142번길 6,,중개거래,강원 속초시
강원도,속초시,조양동,,1499,1499,0,부영3,59.905,202203,2,19500,6,1996,소평로 162,,중개거래,강원 속초시
강원도,속초시,조양동,,1499,1499,0,부영3,59.905,202203,4,18800,12,1996,소평로 162,,중개거래,강원 속초시
강원도,속초시,조양동,,1501,1501,0,부영5,50,202203,3,14900,8,1995,청대로204번길 40,,중개거래,강원 속초시
강원도,속초시,조양동,,1501,1501,0,부영5,50,202203,7,14750,8,1995,청대로204번길 40,,중개거래,강원 속초시
강원도,속초시,조양동,,1501,1501,0,부영5,50,202203,13,14000,15,1995,청대로204번길 40,,중개거래,강원 속초시
강원도,속초시,조양동,,1505,1505,0,부영9,50,202203,5,15000,9,1995,조양로142번길 13,,중개거래,강원 속초시
강원도,속초시,조양동,,1561,1561,0,삼성쉐르빌,84.9909,202203,5,30000,12,2006,청대로 207,,중개거래,강원 속초시
강원도,속초시,조양동,,1561,1561,0,삼성쉐르빌,84.9909,202203,10,30500,10,2006,청대로 207,,중개거래,강원 속초시
강원도,속초시,조양동,,1294-23,1294,23,성호,59.76,202203,2,15000,3,2001,청대로 8,,중개거래,강원 속초시
강원도,속초시,조양동,,1294-23,1294,23,성호,49.65,202203,7,13700,6,2001,청대로 22-7,,중개거래,강원 속초시
강원도,속초시,조양동,,1294-23,1294,23,성호,59.76,202203,14,14800,4,2001,청대로 8,,중개거래,강원 속초시
강원도,속초시,조양동,,1572,1572,0,속초KCC스위첸,74.5213,202203,14,40500,23,2019,청대로 40,,중개거래,강원 속초시
강원도,속초시,조양동,,1459,1459,0,속초서희스타힐스더베이,96.25,202203,3,41700,7,2020,동해대로 3958,,중개거래,강원 속초시
강원도,속초시,조양동,,1459,1459,0,속초서희스타힐스더베이,96.98,202203,12,40000,7,2020,동해대로 3958,,중개거래,서울 용산구
강원도,속초시,조양동,,1390-2,1390,2,속초서희스타힐스더베이2차,84.99,202203,2,39800,19,2021,동해대로 3961,,중개거래,강원 속초시
강원도,속초시,조양동,,1569,1569,0,속초조양양우내안애아파트,59.7891,202203,10,28000,8,2015,온정로1길 30,,중개거래,강원 속초시
강원도,속초시,조양동,,1569,1569,0,속초조양양우내안애아파트,59.7891,202203,11,26000,5,2015,온정로1길 30,,중개거래,강원 속초시
강원도,속초시,조양동,,1569,1569,0,속초조양양우내안애아파트,68.1836,202203,15,29500,5,2015,온정로1길 30,,중개거래,강원 속초시
강원도,속초시,조양동,,1569,1569,0,속초조양양우내안애아파트,59.7891,202203,15,26000,5,2015,온정로1길 30,,중개거래,강원 속초시
강원도,속초시,조양동,,1217-1,1217,1,조양1주공,59.99,202203,3,15000,5,1998,온정로 6,,중개거래,강원 속초시
강원도,속초시,조양동,,1217-1,1217,1,조양1주공,59.99,202203,10,17000,15,1998,온정로 6,,중개거래,강원 속초시
강원도,속초시,조양동,,1217-1,1217,1,조양1주공,59.99,202203,11,15000,2,1998,온정로 6,,중개거래,강원 속초시
강원도,속초시,조양동,,1215-1,1215,1,조양주공2,49.62,202203,8,14000,11,1998,온정로 24,,중개거래,강원 속초시
