시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,강릉시,초당동,,135-18,135,18,이화해변(A동),35.7,202202,4,6800,2,1988,초당원길 21,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1239-1,1239,1,강릉3차,59.67,202202,9,7500,4,1987,강릉대로 395-1,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1114-4,1114,4,강릉6,59.8,202202,15,7000,4,1989,강릉대로359번길 4,,중개거래,강원 강릉시
강원도,강릉시,포남동,,444,444,0,대목7차,67.5,202202,6,8800,5,1991,보래미하길65번길 32,,중개거래,강원 강릉시
강원도,강릉시,포남동,,422-3,422,3,대인4,19.99,202202,16,4500,4,1995,강릉대로469번길 14,,중개거래,강원 강릉시
강원도,강릉시,포남동,,422-3,422,3,대인4,19.99,202202,16,4580,8,1995,강릉대로469번길 14,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1104-6,1104,6,대일,59.4,202202,9,9000,5,1985,성덕포남로213번길 4,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1063,1063,0,동덕.영진광업소사원주택,104.17,202202,24,17000,5,1989,보래미하길65번길 24,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1241-6,1241,6,미진맨션2,84.57,202202,28,18700,10,1990,강릉대로 422-12,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1125,1125,0,세화상가,57.66,202202,8,9000,3,1994,경강로2223번길 15,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1293-1,1293,1,일송,59.135,202202,11,16800,2,1995,하평3길 37,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1005-246,1005,246,조성빌라,74.73,202202,23,9950,5,1986,성덕포남로153번길 17,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1293-2,1293,2,청송,84.42,202202,5,24500,3,1994,하평길 41,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1293-2,1293,2,청송,84.42,202202,10,25800,11,1994,하평길 41,20220218,중개거래,강원 강릉시
강원도,강릉시,포남동,,1293-2,1293,2,청송,84.42,202202,10,25800,10,1994,하평길 41,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1065,1065,0,포남1주공,42.54,202202,6,14000,2,1981,보래미상길 65,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1065,1065,0,포남1주공,42.54,202202,16,17000,1,1981,보래미상길 65,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1065,1065,0,포남1주공,42.54,202202,24,17200,3,1981,보래미상길 65,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1007,1007,0,강릉홍제힐스테이트,129.689,202202,16,47300,13,2007,토성로 39,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1007,1007,0,강릉홍제힐스테이트,129.689,202202,23,46000,3,2007,토성로 39,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,125-1,125,1,미성,59.8,202202,20,13300,4,1994,토성로 55,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1037,1037,0,우미린아파트,84.9843,202202,14,53500,2,2016,선수촌로 55,,직거래,-
강원도,강릉시,홍제동,,122,122,0,우산,33.225,202202,28,8150,2,1997,토성로 51,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,158,158,0,홍제푸르지오,84.9,202202,10,33000,9,2005,홍제로71번길 1,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,158,158,0,홍제푸르지오,84.9,202202,12,33400,8,2005,홍제로71번길 1,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1055,1055,0,홍제한신휴플러스,59.96,202202,4,31000,6,2015,토성로 56,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1055,1055,0,홍제한신휴플러스,84.59,202202,24,39000,4,2015,토성로 56,,중개거래,강원 강릉시
강원도,강릉시,회산동,,608,608,0,강릉서희스타힐스리버파크,59.928,202202,10,30000,12,2017,회산로 344,20220314,중개거래,강원 강릉시
강원도,강릉시,회산동,,608,608,0,강릉서희스타힐스리버파크,59.928,202202,10,30000,12,2017,회산로 344,,중개거래,강원 강릉시
강원도,강릉시,회산동,,608,608,0,강릉서희스타힐스리버파크,59.928,202202,12,27000,2,2017,회산로 344,,중개거래,강원 강릉시
강원도,강릉시,회산동,,610,610,0,강릉회산한신더휴,84.9955,202202,7,47000,14,2019,회산로 313,,중개거래,강원 강릉시
강원도,강릉시,회산동,,610,610,0,강릉회산한신더휴,84.8863,202202,15,49100,12,2019,회산로 313,,중개거래,강원 강릉시
강원도,강릉시,회산동,,130,130,0,힐스테이트강릉,59.9893,202202,5,33000,2,2018,회산로383번길 37,,중개거래,강원 강릉시
강원도,강릉시,회산동,,130,130,0,힐스테이트강릉,84.9925,202202,10,44800,12,2018,회산로383번길 37,,중개거래,강원 강릉시
강원도,강릉시,회산동,,130,130,0,힐스테이트강릉,74.9974,202202,11,40000,14,2018,회산로383번길 37,,중개거래,강원 강릉시
강원도,강릉시,회산동,,130,130,0,힐스테이트강릉,84.9925,202202,12,45300,14,2018,회산로383번길 37,,중개거래,강원 강릉시
강원도,고성군,간성읍,상리,483-1,483,1,간성대명,39.6,202202,4,6000,12,1998,수성로 126-5,,중개거래,강원 고성군
강원도,고성군,간성읍,상리,483-1,483,1,간성대명,39.6,202202,8,6000,9,1998,수성로 126-5,,중개거래,강원 고성군
강원도,고성군,간성읍,상리,483-1,483,1,간성대명,39.6,202202,14,6500,10,1998,수성로 126-5,,중개거래,강원 고성군
강원도,고성군,간성읍,상리,483-1,483,1,간성대명,39.6,202202,14,6300,4,1998,수성로 126-5,,중개거래,강원 고성군
강원도,고성군,간성읍,상리,483-1,483,1,간성대명,59.4,202202,19,6800,12,1998,수성로 126-5,,중개거래,강원 고성군
강원도,고성군,간성읍,신안리,111,111,0,고성삼익레스타운,84.92,202202,3,15000,2,1998,남천마루2길 6,,중개거래,강원 고성군
강원도,고성군,토성면,봉포리,381,381,0,봉포스위트엠오션파크,80.4353,202202,11,25000,14,2020,광포1길 7,,중개거래,강원 속초시
강원도,고성군,토성면,봉포리,381,381,0,봉포스위트엠오션파크,80.4353,202202,17,25000,6,2020,광포1길 7,,중개거래,강원 고성군
